summary,sentiment,entidades
"
Pregnant Wife, One Plus One with other name The Duke’s Hidden Baby: BOGO!He has the absolute power. He kills without hesitation and is a cold, fickle man. Yet he becomes obsessed with her and dotes on her nonstop.The first time they met, he asked, “Was it you, six years ago?”The second time they met, he’s holding onto the DNA test, “You still dare to say he’s not my son?”The n time they met, “Mr. Duke, do you have an end to this?” The guy smiled with a deep charm, “The second child have yet to be born. Of course, there’s no end to this.”
",negative,"['Duke', 'Ye']"
"
Wife Is School Goddess Comics Online. A vet returns to school after his military tours, only to find himself involved in the trouble of many girls:Qian yilan, the most adored goddess on campus, known for her wisdom and pride;Zhen Wei, a gentle and brave campus sweetheart who directly confessed to our MC;Song Daiying, a hot lady trying to charm her way into our MC’s heart;Liu Mei, an adorkable yet mysterious student who seems to pretend to be silly;And Ms. Jun, who accidentally shares a flat with our MC.“Seems like my civilian life is as complicated as my past missions…”
",negative,"['God', 'Li']"
"
Xu Yuan unwittingly discovers that his best friend has fallen in love with him and is now running away from that realization…
",positive,['Yu']
"
A Will Eternal tells the tale of Bai Xiaochun, an endearing but exasperating young man who is driven primarily by his fear of death and desire to live forever, but who deeply values friendship and family.
",negative,"['Xiao', 'Bai']"
"
Although she had been a promising practitioner of kendo in the past, due to an accident she was forced to lead a plain life. After Seo Yuri gets into a car accident during a trip back home, she reincarnates into the novel, “The Song of the Moon,” and becomes the elder twin sister of a side character who meets a destructive ending- Selena. Selena hopes to prevent the destruction of her family, however, she is forced to take the place of her runaway brother, Celestine, in the knights’ squadron! Will she be able to avoid the villainous Crown Prince, Ignis, and survive?!
",negative,"['Prince', 'Crown', 'Yu']"
"
[*][url=https://twitter.com/perico_op?lang=en]Author’s Twitter[/url]
[*][url=https://www.pixiv.net/en/users/778211]Author’s Pixiv[/url]
[url=https://twitter.com/i/events/1193562664418430976]Alternate Twitter Raw Link[/url]
",negative,"['Lin', 'Li']"
"
Eloise Wayana, the grand duchess of the North, is executed by Emperor Caien Helisis after it is revealed that she was secretly a villainess all along. This marks the end of season two of the latest trending web novel, “The Crown of Blood.” As one of its avid readers, Kim Dakyung is eagerly waiting for the next season when she is suddenly hit by a truck on her way home! But once she reawakens, she finds that she is in the body of the grand duchess herself and has been teleported back to the novel’s beginning. Already knowing what road Eloise will go down, Dakyung is desperate to change her fate and survive until season three. Lucky for her, a younger version of Caien falls right into her hands, and she is going to do whatever it takes to keep him on her side.
",positive,"['Emperor', 'Crown']"
"
The Villain’s Aesthetics is a Manga/Manhwa/Manhua in (English/Raw) language, Manhwa series is written by 이흰 / 김예작 This Comic is About
ne day, while eating chicken, Sehyeon was transported into the novel she had written in the spur of a moment.
She immediately became the idiotic princess, Ione.
What else would happen today that would influence the fate of Ione’s life and death?
In order to survive, she had to make sure the Emperor wasn’t killed!
As she dashed away to prevent the incident, she ran straight into a man.
A man loosely gripping a sword dripping with blood.
Nickname: King Regent Kimchi
Real name: Aenard Ibn Bonaparte.
“You’re an author?”
She was screwed. The first thing she had to encounter just happened to be a villain who knew how to read her mind!
“I’m the only person who knows that I can read minds.”
Sehyun’s breathing quickened.
“So, who are you?”
A tight-knit fantasy romance with a menacing villain!
",positive,"['King', 'Emperor']"
"
Shangguan Lianlian pledged to marry Chuck Muir without parental consent, while Chuck Muir is suspected of being engaged to a daughter of a rich family. Lianlian was so sad and traveled to the ancient times… Involved in the legend that who drinks the Goddess from the Heavens’ blood will live forever, she was chased by Guangling King’s men. How does this couple which is separated by time and space, get together? A fantastic adventure of time and space is about to start!!!
",positive,"['King', 'God', 'Li']"
"
The genius of medicine and Taoism, Yang Yunfan, He is the only disciple of ancient medical immortal and a super soldier with a mysterious identity. He obeyed his master’s orders to go down the mountain to fulfill the marriage contract he had set up since he was young, but he was arranged to be a trainee in a community hospital by his beautiful wife wife.
 
",positive,['Yu']
"
Deep sunken cheeks, dirty skin which lost its original color, twig-like wrists, filthy fingernails and a much smaller body for her age.
And with neglected hair hanging over half of her face, this small child is actually the forgotten Royal Princess of the Empire.
Unable to stifle her hunger any longer, she crawls out of her hiding within a tiny, old, worn-down castle in search of food…
“I’m hungry…” The small girl who’s wearing nothing but shabby clothes murmured without even realizing. “Can I eat this…?” Her small fern-like hand tore a piece of vegetation off of the ground, but she eventually put it down while shaking her head from side to side. The little girl hadn’t had a proper meal for three days…
“Estrella…” The child recited the name, her words one with the wind. It was a precious name that she had earned only after a long time.
“I’m sorry I’m late.”
“…It’s alright.”
The little one who replied then slumped onto Elias’ chest.
",negative,"['Prince', 'Princess']"
"
Mankind, who broke the peace treaty with the demons and declared war, has been defeated. Civilization has been annihilated and mankind is walking the path of decline, while the demons have become the new masters of the work. The “Demon Lord” stands at the peak of all demons, but the Demon Lord’s only wish is to have their life after work?? The sweet and bloody romance of a level-headed warrior and a demon lord who wants to die!
",positive,['Demon']
"
There’s a legendary Bishoujo Game that has become popular among Japanese gentlemen.
Its name is “ Magical★Explorer” or Magiero for short.
The game’s protagonist has a cheat-like power with12 different beautiful heroines to flirt with, including additional 12 heroines from the DLC, a harem of 24 beauties. I have become that protagonist!………………Not. Instead, I have become the third-wheel character who always laughing like an idiot next to him.
Of course I was in despair at first.
Of course. If I am the protagonist I could have all 24 heroines for myself along with unparalleled cheat power. However, since I am the third-wheel there’s no heroine that would lay their eyes on me.
But now I couldn’t care less about the protagonist and his heroines. Why? Because I discovered magic. While I was using it, I have become interested in it. I want to master it. I want to become the strongest. Thus I have decided.
I would abandon half my role as a protagonist’s friend to train my magic and then I would beat the hell out of that cheat who can solo the Demon King.
",positive,"['Demon', 'King']"
"
On a certain day, Song Shuhang accidentally joined a deeply afflicted Xianxia chuunibyou(Year 2 middle school disease) chat group, the group members inside all address each other as ‘fellow daoist’. Their contact cards are all either Sect Master, Cave Master, Spiritual Master or Heavenly Expert. Even the group master’s missing pet dog named Great Devil Dog abandoned his home. They chat all day about things like concocting pills, intruding mysterious territories, martial arts experiences and more.
One day, he abruptly realizes after lurking for a long time that…… In this group, every single group member is actually a real cultivator, with the ability to move mountains and drain seas, the kind that can live for thousands of years!
Ah ah ah ah, his worldview has utterly collapsed in a single night!
",positive,"['Ye', 'Great']"
"
Rachel was chosen as the Crown Prince’s fiancée solely by virtue of the immense magical powers she possessed. Thus, when the Saint appeared, she feared that her most coveted position would get snatched away from her.
Spurred by jealousy, Rachel committed evil deeds against the Saint, resulting in her engagement getting annulled. As further punishment, she was sent away to a monastery, but her carriage was attacked by bandits en route. Just when she thought that death was imminent, she woke up with a start… only to find herself three years in the past — with almost all of her magic gone, and her body so frail and weak that she could barely even leave her bed!
Determined to prevent fate from repeating itself, Rachel resolved to take full advantage of this second chance and call off her engagement pronto. But for some reason, the Crown Prince keeps refusing to break things off with her—?!
",negative,"['Prince', 'Crown']"
"
Love filled with murderous intent– When Kamishiro Taku met his unrequited love Hanazono Mika, he saw a vision where he tried to murder Hanazono by stabbing her throat with an umbrella. In a harsh and cruel world he lives in, will his defiance bring him hope or despair?
",negative,['Han']
"
Seo Gun-Woo is a perfect top star, he got it all, looks, posture, aura, eliteness, you name it… He is usually picky and hard to please, especially to any movie that he attends to. Until one day, a newcomer actress Min Seo-Yeon caught his eye, for some reason he can’t fathom what about with this girl that his usual compose self is faltering in the presence of this Lady, makes him uncomfortable but in a pleasant way… Is this what they call love? A Story with romance for all ages.
",positive,['Ye']
"
An evil woman is born again! She has to brush up achievements and virtue and fighting villains. Starting from now, I, Xiao Yi Xin, want to dominate the different world! Ha Ha Ha Ha Ha! ….. Wait a moment! The Fire Yama of Immortal Lord ….. I just helped you to dissolve your fire poison in order to brush up achievements and virtue. I
",negative,['Xiao']
"
A salary man is quite depressed, especially on Mondays. At his lowest point a well-endowed High-School girl calling herself Ai-chan stumbles breast-first into his face. The concussion she gave him served as the start of their relationship.
",negative,['High']
"
Crest was born as the fifth son of a duke. However, as the fifth son, he was in no position to talk. His Childhood friend and also his Fiancee, Ellis treated him just like a slave. And on Crest’s coming-of-age ceremony, he received a skill called “Gacha”. Yet, he wasn’t able to learn how to use it and was banished away from his home. Banished into the forest full of monsters, Crest began to understand the power “Gacha”. And then, Crest made up his mind. He will definitely survive and get back on his feet.
",negative,['Ye']
"
Pure White Elizabeth is a Manga/Manhwa/Manhua in (English/Raw) language, Manhwa series is written by Nam yuhyeon / Upu / Yongdusik This Comic is About
I became the heroine.
Elizabeth Lily, a strong and beautiful heroine with special powers at that.
But the road to the flowery path is too rough.
Being enslaved, brainwashed and abused…
However, the hardships of the heroine in the original novel are still far away.
I’m going to die before I even meet the male lead!
In the end, she made up her mind.
She decided to change the original novel by being saved by the hands of Ashuelot, the supporting character, the evil and dangerous magician.
However.
“Alright, I’ll raise her.”
“Are you serious? Ashuelot, do you know what it means to raise a child?”
“You take full responsibility for their diet, educate them, protect them safely, and if she’s gonna get married, you’re gonna have to thoroughly verify her husband and get rid of him.”
No! That’s not true!!
",negative,['Li']
"
Great wise man’s beloved pupils
",positive,['Great']
"
Everyone fights monsters to upgrade levels , use their brains to fight and makes successful businesses after their resurrections , as for me, I can only rely on money and walk to the climax of my life by being a wastrel! Look at me, Li Jing Long’s inherit the secret wastrel secretive box!
",positive,['Li']
"
The cool loli Baiyuan of the Antivirus Society is “accidentally” involved in a mysterious ceremony called “praying to meet one’s true love at the time of birth”. At 7:30, the time of when she was born, she meets a mysterious boy. However, this is not a fairytale of love. A battle for the president’s position is about to begin…
",positive,['Bai']
